iter	Passed	Remaining
600	2549	1692
601	2553	1687
602	2557	1683
603	2560	1678
604	2564	1674
605	2569	1670
606	2574	1666
607	2579	1662
608	2583	1658
609	2587	1654
610	2592	1650
611	2596	1646
612	2601	1642
613	2604	1637
614	2609	1633
615	2614	1629
616	2618	1625
617	2622	1620
618	2626	1616
619	2630	1612
620	2634	1608
621	2639	1603
622	2643	1599
623	2646	1594
624	2650	1590
625	2655	1586
626	2659	1582
627	2664	1578
628	2668	1573
629	2672	1569
630	2677	1565
631	2681	1561
632	2685	1557
633	2690	1553
634	2695	1549
635	2698	1544
636	2703	1540
637	2707	1536
638	2711	1531
639	2716	1528
640	2721	1524
641	2726	1520
642	2732	1516
643	2736	1512
644	2740	1508
645	2745	1504
646	2749	1499
647	2753	1495
648	2758	1491
649	2782	1498
650	2786	1493
651	2792	1490
652	2794	1485
653	2799	1481
654	2804	1477
655	2808	1472
656	2813	1469
657	2818	1464
658	2821	1460
659	2826	1455
660	2829	1451
661	2833	1446
662	2837	1442
663	2841	1437
664	2845	1433
665	2848	1428
666	2852	1424
667	2856	1419
668	2860	1415
669	2864	1411
670	2869	1406
671	2873	1402
672	2877	1398
673	2882	1394
674	2886	1389
675	2890	1385
676	2895	1381
677	2899	1377
678	2904	1373
679	2911	1370
680	2916	1366
681	2920	1361
682	2925	1357
683	2929	1353
684	2933	1348
685	2939	1345
686	2944	1341
687	2948	1337
688	2953	1333
689	2958	1329
690	2963	1325
691	2968	1321
692	2972	1316
693	2975	1311
694	2978	1307
695	2983	1303
696	2987	1298
697	2991	1294
698	2994	1289
699	2999	1285
700	3003	1281
701	3006	1276
702	3010	1272
703	3015	1267
704	3019	1263
705	3023	1259
706	3027	1254
707	3030	1250
708	3035	1246
709	3039	1241
710	3045	1237
711	3050	1233
712	3053	1229
713	3058	1224
714	3063	1221
715	3067	1216
716	3071	1212
717	3076	1208
718	3080	1203
719	3085	1199
720	3090	1195
721	3094	1191
722	3100	1187
723	3105	1183
724	3111	1180
725	3115	1175
726	3118	1171
727	3123	1166
728	3127	1162
729	3132	1158
730	3138	1154
731	3143	1150
732	3146	1146
733	3150	1141
734	3155	1137
735	3160	1133
736	3163	1128
737	3168	1124
738	3173	1120
739	3177	1116
740	3183	1112
741	3188	1108
742	3193	1104
743	3197	1100
744	3201	1095
745	3206	1091
746	3210	1087
747	3216	1083
748	3221	1079
749	3225	1075
750	3230	1070
751	3234	1066
752	3239	1062
753	3243	1058
754	3248	1054
755	3253	1049
756	3257	1045
757	3262	1041
758	3267	1037
759	3272	1033
760	3276	1029
761	3281	1024
762	3285	1020
763	3290	1016
764	3296	1012
765	3301	1008
766	3304	1003
767	3308	999
768	3311	994
769	3315	990
770	3320	986
771	3324	981
772	3329	977
773	3333	973
774	3338	969
775	3343	965
776	3347	960
777	3352	956
778	3357	952
779	3362	948
780	3365	943
781	3370	939
782	3375	935
783	3379	930
784	3383	926
785	3388	922
786	3393	918
787	3397	913
788	3402	909
789	3406	905
790	3410	901
791	3415	896
792	3419	892
793	3424	888
794	3428	884
795	3433	879
796	3437	875
797	3442	871
798	3445	866
799	3448	862
800	3452	857
801	3457	853
802	3461	849
803	3465	844
804	3469	840
805	3472	835
806	3477	831
807	3481	827
808	3485	822
809	3490	818
810	3493	814
811	3497	809
812	3502	805
813	3506	801
814	3510	796
815	3514	792
816	3517	787
817	3520	783
818	3525	779
819	3528	774
820	3532	770
821	3536	765
822	3540	761
823	3544	757
824	3549	752
825	3554	748
826	3558	744
827	3562	740
828	3566	735
829	3571	731
830	3575	727
831	3580	722
832	3584	718
833	3589	714
834	3593	710
835	3597	705
836	3602	701
837	3607	697
838	3611	693
839	3615	688
840	3620	684
841	3624	680
842	3629	675
843	3633	671
844	3638	667
845	3642	663
846	3646	658
847	3650	654
848	3655	650
849	3660	645
850	3665	641
851	3670	637
852	3674	633
853	3679	629
854	3685	625
855	3690	620
856	3694	616
857	3700	612
858	3705	608
859	3710	603
860	3717	600
861	3722	595
862	3726	591
863	3731	587
864	3735	583
865	3739	578
866	3744	574
867	3748	570
868	3752	565
869	3757	561
870	3761	557
871	3765	552
872	3770	548
873	3773	543
874	3777	539
875	3782	535
876	3785	530
877	3789	526
